,dw,e_mcscf,e_mcpdft
0,1.73e-16,-1223.5655356863138,-1229.588044918418
1,4.35e-06,-1223.324175339445,-1229.3939588667592
-1,4.37e-06,-1223.4958792557854,-1229.6834970948582
