,0,1,2,3
0.0,-0.5146290280739759,-0.17678378030928527,-0.016436600703933334,0.5622161736020939
0.0625,-0.5133511346805757,-0.19608023447061898,0.004896381493072169,0.5582983284087807
0.125,-0.5095088738309259,-0.23586393276883388,0.050735597728170885,0.5466805283359177
0.18750000000000003,-0.5030763558502617,-0.27704840648968937,0.10183685103663614,0.5277560125408118
0.25,-0.49400994379080426,-0.31493945608467927,0.1532443014095531,0.5021361075857872
0.3125,-0.4822475424161621,-0.3490204205370036,0.20407134683525677,0.47059212446210363
0.37500000000000006,-0.4677076575314564,-0.3794086720647405,0.25395231055634626,0.4339878002220874
0.43749999999999994,-0.4502883189238543,-0.4062952665028811,0.3024782006083577,0.3932117567255165
0.5,-0.4298662325978876,-0.42986587591452896,0.34911743096584913,0.3491181714487629
0.5625,-0.4502883189238548,-0.40629526650288145,0.3024782006083577,0.3932117567255168
0.625,-0.4677076575314564,-0.37940867206474066,0.2539523105563454,0.43398780022208594
0.6875,-0.48224754241616213,-0.34902042053700333,0.20407134683525685,0.4705921244621043
0.7500000000000001,-0.4940099437908046,-0.31493945608467944,0.15324430140955347,0.5021361075857883
0.8125,-0.5030763558502618,-0.2770484064896889,0.101836851036636,0.5277560125408123
0.8749999999999999,-0.5095088738309256,-0.235863932768834,0.05073559772817094,0.5466805283359173
0.9375000000000001,-0.5133511346805757,-0.19608023447061854,0.004896381493072592,0.5582983284087824
1.0,-0.5146290280739759,-0.17678378030928527,-0.016436600703933334,0.5622161736020939
nocc,2.0,2.0,0.0,0.0
