,0,1
0.0,-0.5146933280746324,0.5622496445815273
0.0625,-0.5095730394795575,0.546713635152957
0.125,-0.4940733723431727,0.5021677496915887
0.18750000000000003,-0.4677685694749193,0.4340155897222657
0.25,-0.42992019901626904,0.34913670272270925
0.3125,-0.3794491844133756,0.25395443106170934
0.37500000000000006,-0.31498410277427885,0.1532460751166231
0.43749999999999994,-0.23630678691679627,0.05112951526107595
0.5,-0.1811115769843912,-0.01216325922523643
0.5625,-0.23630678691679646,0.05112951526107617
0.625,-0.3149841027742792,0.15324607511662316
0.6875,-0.37944918441337594,0.25395443106170895
0.7500000000000001,-0.42992019901626904,0.34913670272270836
0.8125,-0.4677685694749191,0.4340155897222662
0.8749999999999999,-0.49407337234317245,0.5021677496915893
0.9375000000000001,-0.5095730394795575,0.546713635152959
1.0,-0.5146933280746324,0.5622496445815273
nocc,2.0,0.0
