,0,1,2,3
0.0,-0.32817414282688573,-0.12634635714657186,-0.12588571167677107,0.2694736581731848
0.0625,-0.3274169908774168,-0.15116937424381469,-0.09944651267670848,0.26657904685882705
0.125,-0.32514366670197103,-0.17454638467643585,-0.07125882224690863,0.2580115853804818
0.18750000000000003,-0.3213485820379993,-0.19621894084224792,-0.04169607659622925,0.244108964179457
0.25,-0.3160224838583457,-0.2161776357534613,-0.010963715431814697,0.22539797238483808
0.3125,-0.3091525633657786,-0.2344278309724913,0.020660867909182937,0.20254709174051563
0.37500000000000006,-0.30072264551142497,-0.25098451767642416,0.05281707439305876,0.17631154604955113
0.43749999999999994,-0.2907134986608655,-0.26586846289664756,0.08505258121765534,0.1474786193269712
0.5,-0.2791033261866674,-0.2791033120467957,0.11681962130973161,0.11681963382321442
0.5625,-0.2907134986608654,-0.26586846289664734,0.08505258121765555,0.14747861932697184
0.625,-0.30072264551142497,-0.250984517676424,0.05281707439305898,0.17631154604955154
0.6875,-0.30915256336577873,-0.23442783097249123,0.020660867909183006,0.20254709174051572
0.7500000000000001,-0.3160224838583457,-0.21617763575346122,-0.010963715431814746,0.2253979723848383
0.8125,-0.3213485820379993,-0.19621894084224786,-0.04169607659622936,0.24410896417945646
0.8749999999999999,-0.32514366670197126,-0.17454638467643596,-0.0712588222469086,0.25801158538048197
0.9375000000000001,-0.3274169908774169,-0.15116937424381463,-0.09944651267670855,0.266579046858827
1.0,-0.32817414282688573,-0.12634635714657186,-0.12588571167677107,0.2694736581731848
nocc,2.0,2.0,0.0,0.0
