,0,1,2,3,4,5,6,7
0.0,-0.3827859285086667,-0.3250562241809324,-0.3239072894778862,-0.17769741327233046,-0.07410580397318475,0.16803205411306235,0.16933423885649415,0.3372377570836568
0.0625,-0.3825326933783321,-0.3322173097002109,-0.31613758899761996,-0.128430307020111,-0.12293178983344295,0.1502723138623905,0.18662141695018197,0.33640680934959144
0.125,-0.38183405197832654,-0.33887786417967286,-0.3078425290428991,-0.15922298850420719,-0.09083498117476572,0.1322157458117986,0.2034471038848281,0.3339980205850033
0.18750000000000003,-0.38068918649908146,-0.3450456691091646,-0.2990103864621492,-0.17871625561837465,-0.06918250584075678,0.11393632545329499,0.219718031234016,0.3300342371524813
0.25,-0.3790967991513206,-0.35072779074113625,-0.28962778211033485,-0.19490109140184092,-0.04999655847988867,0.0955002145446443,0.23533676370202564,0.32455290726378705
0.3125,-0.3770551061585615,-0.35593063210203757,-0.27967907245896284,-0.2096012005754146,-0.03147193985782599,0.07696490697692182,0.25020291652952964,0.31760514077092655
0.37500000000000006,-0.3745618296283735,-0.36065997305239256,-0.269145264640217,-0.22331797198906195,-0.013131206242409842,0.05837802878183653,0.2642145575915917,0.30925445388333966
0.43749999999999994,-0.37161418713445055,-0.3649210019979386,-0.25800196242392803,-0.2362445507207545,0.0051892568777443015,0.03977527581043617,0.2772697815208268,0.2995752536011721
0.5,-0.36871834154334543,-0.36820887875184644,-0.24847324178679642,-0.24621521460839685,0.021176336354223686,0.02354646539794591,0.28865112530073234,0.28926843083578063
0.5625,-0.3720560694339904,-0.36434207132618174,-0.2600560370822385,-0.23373245170108595,0.0025759609532436437,0.04195117448233953,0.27657299144940106,0.3001139269058148
0.625,-0.3749377360948357,-0.36000937914477027,-0.2710264447080064,-0.22046063665502477,-0.016077717226499543,0.06038951804002453,0.2634372091748535,0.3097151628867462
0.6875,-0.3773663788518604,-0.3552058408617596,-0.281408534193037,-0.20620571635400214,-0.03494354524124413,0.0788318814035358,0.24934367148853126,0.3179884004869265
0.7500000000000001,-0.3793445338010971,-0.349925891110161,-0.29122107186680024,-0.19046519715113933,-0.05449459095422311,0.09723690183677307,0.23439396886790237,0.324859106501055
0.8125,-0.38087424530296593,-0.3441633255693819,-0.3004795604352296,-0.17141401601919623,-0.07653210396432618,0.11555343304387429,0.2186896590669868,0.3302636605770727
0.8749999999999999,-0.38195707339065765,-0.3379112570356938,-0.3091973111657642,-0.13556208498512345,-0.11452782870745067,0.13372162544954605,0.20233068119303887,0.3341508663117302
0.9375000000000001,-0.3825940992020488,-0.33116205881619243,-0.3173860410537224,-0.1907594522765573,-0.06061916381780264,0.1516736386209428,0.18541393763666733,0.33648320212601546
1.0,-0.3827859285086667,-0.3250562241809324,-0.3239072894778862,-0.17769741327233046,-0.07410580397318475,0.16803205411306235,0.16933423885649415,0.3372377570836568
nocc,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
