,0,1
0.0,-0.3280706741691953,0.2695536322667213
0.0625,-0.3250402694309025,0.25809216757029674
0.125,-0.31591930725155193,0.22548026777596566
0.18750000000000003,-0.30061985905570787,0.1763963704117959
0.25,-0.2790011289161005,0.11690743406843807
0.3125,-0.25088319111080976,0.05290799290444291
0.37500000000000006,-0.2160775595507431,-0.01086974049267967
0.43749999999999994,-0.17444836400611466,-0.07116163309498871
0.5,-0.1264710720831093,-0.12556538882016396
0.5625,-0.17444836400611471,-0.07116163309498848
0.625,-0.21607755955074276,-0.010869740492679261
0.6875,-0.25088319111081003,0.05290799290444255
0.7500000000000001,-0.2790011289161005,0.11690743406843862
0.8125,-0.30061985905570787,0.17639637041179607
0.8749999999999999,-0.3159193072515515,0.2254802677759661
0.9375000000000001,-0.3250402694309025,0.25809216757029774
1.0,-0.3280706741691953,0.2695536322667213
nocc,2.0,0.0
